Country;More_concerned_than_excited_pct;Equally_concerned_and_excited_pct;More_excited_than_concerned_pct
U.S.;50;38;10
Italy;50;37;12
Australia;49;38;13
Brazil;48;37;10
Greece;47;39;10
Canada;45;45;9
UK;39;46;13
Argentina;39;41;13
Spain;39;38;19
Poland;37;42;15
Mexico;35;47;13
France;35;49;15
Netherlands;34;48;16
Hungary;33;47;18
Indonesia;32;49;14
Kenya;31;43;17
Sweden;31;45;22
South Africa;30;42;18
Germany;29;53;17
Japan;28;55;16
Turkey;26;35;19
Nigeria;24;36;20
Israel;21;34;29
India;19;39;16
South Korea;16;61;22
